NO,국문,영문,학명,관리현황,분류군,학명-수정,특성
467,붉은파쿠,Red-bellid pacu,Piaractus brachypomus</em>,유입주의 생물,어류,Piaractus brachypomus,"Piaractus brachypomus, the pirapitinga, is a large species of pacu, a close relative of piranhas and silver dollars, in the serrasalmid family. It is native to the Amazon basin in tropical South America, but it formerly included populations in the Orinoco, which was described in 2019 as a separate species, P. orinoquensis. Additionally, P. brachypomus is widely farmed and has been introduced to other regions. In South Florida they are invasive in rivers, canals or lakes.As with a number of other"
468,파쿠,Pacu,Piaractus mesopotamicus</em>,유입주의 생물,어류,Piaractus mesopotamicus,"Pacu (Portuguese pronunciation: [paˈku]) is a common name used to refer to several species of omnivorous South American freshwater serrasalmid fish related to the piranha. Pacu and piranha do not have similar teeth, the main difference being jaw alignment; piranha have pointed, razor-sharp teeth in a pronounced underbite, whereas pacu have squarer, straighter teeth and a less severe underbite, or a slight overbite. Pacu, unlike piranha, mainly feed on plant material and not flesh or scales. Addi"
469,큰타이런트새,,Pitangus sulphuratus</em>,유입주의 생물,조류,Pitangus sulphuratus,"The great kiskadee (Pitangus sulphuratus), called bem-te-vi in Brazil, pitogue in Paraguay, and benteveo in Argentina, is a passerine bird in the tyrant flycatcher family Tyrannidae. It is the only member of the genus Pitangus.
It breeds in open woodland with some tall trees, including cultivation and around human habitation. It is mainly found in Belize, the Lower Rio Grande Valley in southern Texas, and northern Mexico. Cited in Liberia, Guanacaste, Costa Rica in December 2022. Occurs througho"
470,호주돈나무,Australian cheesewood,Pittosporum undulatum</em> Vent.,유입주의 생물,식물,Pittosporum undulatum,"Pittosporum undulatum is a fast-growing tree in the family Pittosporaceae. It is sometimes also known as sweet pittosporum, native daphne, Australian cheesewood,  Victorian box or mock orange.
P. undulatum has become invasive in parts of Australia where it is not indigenous. It is also highly invasive in South Africa, the Caribbean, Hawaii, the Azores and southern Brazil."
471,페르시아마디풀,,Polygonum argyrocoleon</em> Steud. ex Kunze,유입주의 생물,식물,Polygonum argyrocoleon,"Polygonum argyrocoleon, common names silver-sheath knotweed and Persian knotweed, is an Asian species of plants in the buckwheat family. It is native to Siberia, western China, Central Asia, and the Middle East. It has also become naturalized in parts of the United States, primarily the Southwest, and northwestern Mexico.Polygonum argyrocoleon is an annual herb up to 80 cm (31 in) tall. It has very small leaves rarely more than 5 cm (2.0 in) long."
472,아시아갈색청개구리,,Polypedates leucomystax</em>,유입주의 생물,양서류,Polypedates leucomystax,"Polypedates leucomystax is a species in the shrub frog family Rhacophoridae. It is known under numerous common names, including common tree frog, four-lined tree frog, golden tree frog or striped tree frog. Many past authors have united it with the common Indian tree frog in P. maculatus (or Rhacophorus maculatus, as was common in older times), but today they are generally considered distinct species. In its native range, it is also called ""white-lipped tree frog"", but this name is otherwise app"
473,높은탑사과우렁이,Spike-topped apple snail,Pomacea diffusa</em>,유입주의 생물,무척추동물,Pomacea diffusa,"Pomacea bridgesii, common name the spike-topped apple snail or mystery snail, is a South American species of freshwater snail with gills and an operculum, an aquatic gastropod mollusk in the family Ampullariidae. These snails were most likely introduced to the United States through the aquarium trade."
474,다뉴브유럽가재,Danube crayfish,Pontastacus leptodactylus</em>,유입주의 생물,무척추동물,Pontastacus leptodactylus,"Pontastacus leptodactylus, the Danube crayfish, Galician crayfish, Turkish crayfish or narrow-clawed crayfish, is a relatively large and economically important species of crayfish native to fresh and brackish waters in eastern Europe and western Asia, mainly in the Pontic–Caspian region, among others including the basins of the Black Sea, and the Danube, Dnieper, Don and Volga rivers, as well as aquatic systems in Turkey. It has spread widely beyond its native range, beginning in the 1700s when "
475,발삼물황철나무,,Populus balsamifera</em> L.,유입주의 생물,식물,Populus balsamifera,"Populus balsamifera, commonly called balsam poplar, bam, bamtree, eastern balsam-poplar, hackmatack, tacamahac poplar, tacamahaca, is a tree species in the balsam poplar species group in the poplar genus, Populus. The genus name Populus is from the Latin for poplar, and the specific epithet balsamifera from Latin for ""balsam-bearing"".Populus balsamifera is the northernmost North American hardwood, growing transcontinentally on boreal and montane upland and flood plain sites, and attaining its be"
476,미국큰거치사시나무,,Populus grandidentata</em> Michx.,유입주의 생물,식물,Populus grandidentata,"Populus grandidentata, commonly called large-tooth aspen, big-tooth aspen, American aspen, Canadian poplar, or white poplar, is a deciduous tree native to eastern North America."
477,자색물닭,,Porphyrio porphyrio</em>,유입주의 생물,조류,Porphyrio porphyrio,"The western swamphen (Porphyrio porphyrio) is a species of swamphen in the rail family Rallidae, one of the six species of purple swamphen. From the French name talève sultane, it is also known as the sultana bird. This chicken-sized bird, with its large feet, bright plumage and red bill and frontal shield is easily recognisable in its native range. It used to be considered the nominate subspecies of the purple swamphen, but is now recognised as a separate species. The western swamphen is found "
478,남미보라꽃등골나물,Praxelis,Praxelis clematidea</em>,유입주의 생물,식물,Praxelis clematidea,"Praxelis is a genus of flowering plants in the tribe Eupatorieae within the family Asteraceae.
Species


== References =="
479,북미흰돌기가재,White river crayfish,Procambarus acutus</em>,유입주의 생물,무척추동물,Procambarus acutus,"Procambarus zonangulus, the white river crawfish, white river crayfish or southern white river crayfish, is a species of freshwater crayfish."
480,마블가재,"Marmorkrebs, Marbled crayfish",Procambarus virginalis</em>,유입주의 생물,무척추동물,Procambarus virginalis,"The marbled crayfish or Marmorkrebs (Procambarus virginalis) is a parthenogenetic crayfish that was discovered in the pet trade in Germany in 1995. Marbled crayfish are closely related to the ""slough crayfish"", Procambarus fallax, which is widely distributed across Florida. No natural populations of marbled crayfish are known. Information provided by one of the original pet traders as to where the marbled crayfish originated was deemed ""totally confusing and unreliable"". The informal name Marmor"
481,남미게잡이라쿤,Crab-eating raccoon,Procyon cancrivorus</em>,"외래생물, 유입주의 생물",포유류,Procyon cancrivorus,"The crab-eating raccoon or South American raccoon (Procyon cancrivorus) is a species of raccoon native to marshy and jungle areas of Central and South America (including Trinidad and Tobago). It is found from Costa Rica south through most areas of South America east of the Andes down to northern Argentina and Uruguay. Despite its name, this species does not feed exclusively on crabs, and the common raccoon also seeks and eats crabs where they are available. In Paraguay, it is known as aguará or "
482,왕메뚜기콩,Honey mesquite,Prosopis glandulosa</em> Torr.,유입주의 생물,식물,Prosopis glandulosa,"Prosopis glandulosa, commonly known as honey mesquite,  is a species of small to medium-sized, thorny shrub or tree in the legume family (Fabaceae)."
483,개꼬리미모사나무,Mesquite,Prosopis juliflora</em>,유입주의 생물,식물,Prosopis juliflora,"Mesquite is a common name for several plants in the genus Prosopis, which contains over 40 species of small leguminous trees. They are native to dry areas in the Americas. 
They have extremely long roots to seek water from very far under ground. As a legume, mesquites are one of the few sources of fixed nitrogen in the desert habitat. The trees bloom from spring to summer. They often produce fruits known as ""pods"". Prosopis spp. are able to grow up to 8 metres (26 ft) tall, depending on site and"
484,서유럽관코망둑,,Proterorhinus semilunaris</em>,유입주의 생물,어류,Proterorhinus semilunaris,"The western tubenose goby (Proterorhinus semilunaris) is a species of goby native to fresh waters of the Black Sea and Aegean Sea basins. It has recently spread as an invasive species to Central and Western Europe and to North America. Previously Proterorhinus semilunaris was considered as a junior synonym of Proterorhinus marmoratus, but  was confirmed as a distinct species based on molecular analysis."
485,갈색점박이살모사,Brown Spotted Pit Viper,Protobothrops mucrosquamatus</em>,유입주의 생물,파충류,Protobothrops mucrosquamatus,"Protobothrops mucrosquamatus is a venomous pit viper species endemic to Asia. Common names include: brown-spotted pit viper, Taiwanese habu and pointed-scaled pit viper. No subspecies are currently recognized. The species was first described by Theodore Cantor in 1839."
486,개혓바닥국화,,Pseudelephantopus spicatus</em> (Juss. ex Aubl.) C.F.Baker,유입주의 생물,식물,Pseudelephantopus spicatus,"Pseudelephantopus spicatus, commonly known as dog's-tongue or false elephant's foot. It is native to tropical areas in Mesoamerica, South America, and the West Indies and is naturalized in Florida, mostly on sandy soils.  It has also been introduced to Africa, Southeast Asia, and some islands in the Pacific.
Pseudelephantopus spicatus is a perennial herb spreading by underground rhizomes. Flowers are white to pinkish or purplish.


== References =="
487,시베리아하늘다람쥐,,Pteromys volans</em>,유입주의 생물,포유류,Pteromys volans,"The Siberian flying squirrel (Pteromys volans) is an Old World flying squirrel ranging from the Baltic Sea in the west, throughout Northern Asia to the coast of the Pacific Ocean in the east. It is the only species of flying squirrel in Europe and is considered vulnerable in the European Union where it occurs only in Estonia and Finland. In Latvia, it was last sighted in 2001 and has been considered to be locally extinct since 2013."
488,벌레무늬플래코,Vermiculated sailfin catfish,Pterygoplichthys disjunctivus</em>,유입주의 생물,어류,Pterygoplichthys disjunctivus,"Pterygoplichthys disjunctivus, commonly known as the vermiculated sailfin catfish, is a species of catfish in the family Loricariidae. It is native to South America, where it occurs in the Madeira River basin in Bolivia and Brazil, although it has subsequently been introduced to various countries.
Pterygoplichthys disjunctivus is typically found in floodplain lakes, swamps, and borrow pits in water with a low concentration of oxygen. As such, it is a facultative air-breather that appears to use "
489,오리노코플래코,Orinoco sailfin catfish,Pterygoplichthys multiradiatus</em>,유입주의 생물,어류,Pterygoplichthys multiradiatus,"Pterygoplichthys multiradiatus is one of several tropical fish commonly known as Orinoco sailfin catfish, plecostomus (or plecos). It belongs to the armored catfish family (Loricariidae). Named for its sail-like dorsal fin, the part of its scientific name multiradiatus means ""many-rayed"" and refers to the rays of the dorsal fin. P. multiradiatus is one of a number of species commonly referred to as the common pleco by aquarists.Other scientific names that were used (as synonyms) for P. multiradi"
490,아마존비파,Amazon sailfin catfish,Pterygoplichthys pardalis</em>,유입주의 생물,어류,Pterygoplichthys pardalis,"Pterygoplichthys pardalis, the Amazon sailfin catfish, is a freshwater tropical fish in the armored catfish family (Loricariidae). It is one of a number of species commonly referred to as the common pleco or ""leopard pleco"" by aquarists."
491,재규어푸마,Jaguarundi,Puma yagouaroundi</em>,유입주의 생물,포유류,Puma yagouaroundi,"The jaguarundi (Herpailurus yagouaroundi;  or ) is a wild cat native to the Americas. Its range extends from central Argentina in the south to northern Mexico, through Central and South America east of the Andes. The jaguarundi is a medium-sized cat of slender build. Its coloration is uniform with two color morphs, gray and red. It has an elongated body, with relatively short legs, a small, narrow head, small, round ears, a short snout, and a long tail, resembling mustelids in these respects. It"
492,붉은꽁지직박구리,,Pycnonotus cafer</em>,유입주의 생물,조류,Pycnonotus cafer,"The red-vented bulbul (Pycnonotus cafer) is a member of the bulbul family of passerines. It is a resident breeder across the Indian subcontinent, including Sri Lanka extending east to Burma and parts of Bhutan and Nepal. It has been introduced in many other parts of the world and has established itself in New Zealand, Argentina, Tonga and Fiji, as well as parts of Samoa, Australia, USA and Cook Islands. It is included in the list of the world's 100 worst invasive alien species."
493,붉은수염직박구리,Red-whiskered bulbul,Pycnonotus jocosus</em>,유입주의 생물,조류,Pycnonotus jocosus,"The red-whiskered bulbul (Pycnonotus jocosus), or crested bulbul, is a passerine bird native to Asia. It is a member of the bulbul family. It is a resident frugivore found mainly in tropical Asia. It has been introduced in many tropical areas of the world where populations have established themselves. It has a loud three or four note call, feeds on fruits and small insects and perches conspicuously on trees. It is common in hill forests and urban gardens."
494,넓적머리동자개,Flathead catfish,Pylodictis olivaris</em>,유입주의 생물,어류,Pylodictis olivaris,"The flathead catfish (Pylodictis olivaris), also called by several common names including mudcat or shovelhead cat, is a large species of North American freshwater catfish in the family Ictaluridae. It is the only species of the genus Pylodictis. Ranging from the lower Great Lakes region to northern Mexico, it has been widely introduced and is an invasive species in some areas.  The closest living relative of the flathead catfish is the much smaller widemouth blindcat, Satan eurystomus."
495,붉은부리베짜는새,,Quelea quelea</em>,유입주의 생물,조류,Quelea quelea,"The red-billed quelea (; Quelea quelea), also known as the red-billed weaver or red-billed dioch, is a small—approximately 12 cm (4.7 in) long and weighing 15–26 g (0.53–0.92 oz)—migratory, sparrow-like bird of the weaver family, Ploceidae, native to Sub-Saharan Africa.
It was named by Linnaeus in 1758, who considered it a bunting, but Ludwig Reichenbach assigned it in 1850 to the new genus Quelea. Three subspecies are recognised, with Quelea quelea quelea occurring roughly from Senegal to Chad,"
496,유럽기민개구리,Agile frog,Rana dalmatina</em>,유입주의 생물,양서류,Rana dalmatina,"The agile frog (Rana dalmatina) is a European frog in the genus Rana of the true frog family, Ranidae."
497,돼지개구리,,Rana grylio</em>,유입주의 생물,양서류,Rana grylio,"The pig frog (Lithobates grylio) is a species of aquatic frog found in the Southeastern United States, from South Carolina to Texas. Some sources also refer to it as the lagoon frog or the southern bullfrog."
498,강개구리,,Rana heckscheri</em>,유입주의 생물,양서류,Rana heckscheri,"The river frog (Lithobates heckscheri) is a species of aquatic frog in the family Ranidae. It is endemic to the southeastern United States. Its natural habitats are temperate  rivers, swamps, freshwater lakes and freshwater marshes. It is threatened by habitat loss."
499,일본산개구리,Japanese brown frog,Rana japonica</em>,유입주의 생물,양서류,Rana japonica,"The Japanese brown frog (Rana japonica) is a species of frog in the family Ranidae, endemic to Japan. Its natural habitats are temperate grassland, rivers, swamps, irrigated land, and seasonally flooded agricultural land."
500,북방표범개구리,,Rana pipiens</em>,유입주의 생물,양서류,Rana pipiens,"Lithobates pipiens formerly Rana pipiens, commonly known as the northern leopard frog, is a species of leopard frog from the true frog family, native to parts of Canada and the United States. It is the state amphibian of Minnesota and Vermont."
501,태평양쥐,Polynesian rat,Rattus exulans</em>,유입주의 생물,포유류,Rattus exulans,"The Polynesian rat, Pacific rat or little rat (Rattus exulans), known to the Māori as kiore, is the third most widespread species of rat in the world behind the brown rat and black rat. The Polynesian rat originated in Southeast Asia, and like its relatives has become widespread, migrating to most of Polynesia, including New Zealand, Easter Island, and Hawaii. It shares high adaptability with other rat species extending to many environments, from grasslands to forests. It is also closely associa"
502,노란꽃목서초,,Reseda lutea</em> L.,유입주의 생물,식물,Reseda lutea,"Reseda lutea, the yellow mignonette or wild mignonette, is a species of fragrant herbaceous flowering plant. Its leaves and flowers have been used to make a yellow dye called ""weld"" since the first millennium BC, although the related plant Reseda luteola was more widely used for that purpose.
A native of Eurasia and North Africa, the plant is present on other continents as an introduced species and a common weed. In Australia it is a noxious weed and pest of agricultural crops."
503,붉은목유혈목이,Red-necked keelback,Rhabdophis subminiatus</em>,유입주의 생물,파충류,Rhabdophis subminiatus,"Rhabdophis subminiatus, commonly called the red-necked keelback or red-necked keelback snake, is a species of venomous snake in the subfamily Natricinae of the family Colubridae. The species is endemic to Asia."
504,이탈리아갈매나무,,Rhamnus alaternus</em> L.,유입주의 생물,식물,Rhamnus alaternus,"Rhamnus alaternus is a species of flowering plant in the buckthorn family Rhamnaceae, known by the common names Italian buckthorn or Mediterranean buckthorn. It is a hardy medium-sized evergreen shrub with fragrant flowers."
505,기는뻐꾹채,Russian Knapweed,Rhaponticum repens</em> (L.) Hidalgo,유입주의 생물,식물,Rhaponticum repens,"Leuzea repens, synonyms including Acroptilon repens and Rhaponticum repens, with the common name Russian knapweed, is a bushy rhizomatous perennial, up to 80 cm tall. Stems and leaves are finely arachnoid-tomentose becoming glabrous and green with age. The rosette leaves are oblanceolate, pinnately lobed to entire, 2–3 cm wide by 3–8 cm long. The lower cauline leaves are smaller, pinnately lobed; the upper leaves become much reduced, sessile, serrate to entire. The heads are numerous terminating"
506,사탕수수두꺼비,"Giant toad, Cane toad, Marine toad",Rhinella marina</em>,"외래생물, 유입주의 생물",양서류,Rhinella marina,"The cane toad (Rhinella marina), also known as the giant neotropical toad or marine toad, is a large, terrestrial true toad native to South and mainland Central America, but which has been introduced to various islands throughout Oceania and the Caribbean, as well as Northern Australia. It is a member of the genus Rhinella, which includes many true toad species found throughout Central and South America, but it was formerly assigned to the genus Bufo.
The cane toad is an old species. A fossil to"
507,유럽납줄개,European bitterling,Rhodeus amarus</em>,유입주의 생물,어류,Rhodeus amarus,"The European bitterling (Rhodeus amarus) is a temperate freshwater fish belonging to the subfamily Acheilognathinae of the family Cyprinidae. It originates in Europe, ranging from the Rhone River basin in France to the Neva River in Russia. It was originally described as Cyprinus amarus by Marcus Elieser Bloch in 1782, and has been referred to in scientific literature as Rhodeus sericeus amarus. It is known simply as ""the bitterling"" in its native range, where it is the only species of its genus"
508,북유럽흰마자,,Romanogobio belingi</em>,유입주의 생물,어류,Romanogobio belingi,"The northern whitefin gudgeon (Romanogobio belingi) is a species of freshwater fish in the family Cyprinidae. It is distributed in the northern Black Sea basin (Dniester, Southern Bug, and Dnieper riverine systems), southern Baltic Sea basin (Oder, Vistula), southern North Sea basin (Elbe, Rhine). Also, reports from lakes Ilmen and Ladoga and its basins have been made, which are questionable. Their maximal length is 11.5 cm, with a maximal reported age of 5 years.
Named in honor of Demeter (Dimi"
509,큰꽃용가시나무,Macartney Rose,Rosa bracteata</em> Sieber ex C.Presl,유입주의 생물,식물,Rosa bracteata,"Rosa bracteata, commonly known as the Macartney rose, is a species of rose that is native to southern China and Taiwan, but is also present as an invasive in the US."
510,러시아소리쟁이,,Rumex confertus</em> Willd.,유입주의 생물,식물,Rumex confertus,"Rumex confertus (Russian dock) is a flowering plant species in the family Polygonaceae.
It grows quickly, reproduces from rhizomes and seed, and produces large quantities of viable seed. Its seed is adapted for wind and water dispersal and exhibits a high rate of germination."
511,자바루사사슴,,Rusa timorensis</em>,유입주의 생물,포유류,Rusa timorensis,The Javan rusa or Sunda sambar (Rusa timorensis) is a large deer species native to Indonesia and East Timor. Introduced populations exist in a wide variety of locations in the Southern Hemisphere.
512,삼바사슴,Sambar,Rusa unicolor</em>,유입주의 생물,포유류,Rusa unicolor,"Sambar may refer to:

Sambar deer, a species of deer
Sambar (dish), a lentil-based dish common in India and Sri Lanka
Sambar (film), an Indian Malayalam-language film by Navas Kallara
Sambhar, Rajasthan, a city and a municipality in Rajasthan, India
Sambhar Salt Lake, a lake in Rajasthan
Subaru Sambar, a kei-class van
David Sambar, a British American Lebanese international investment banker"
513,로우치,Roach,Rutilus rutilus</em>,유입주의 생물,어류,Rutilus rutilus,Roach may refer to:
514,잔디잎소귀나물,Grass-leaved arrowhead,Sagittaria graminea</em> Michx.,유입주의 생물,식물,Sagittaria graminea,"Sagittaria graminea, the grassy arrowhead or grass-leaved arrowhead, is an aquatic plant species native to eastern North America."
515,덩굴가지,"Pampas lily of the valley, lily of the valley vine, Cock&apos;s-eggs",Salpichroa origanifolia</em> (Lam.) Thell.,유입주의 생물,식물,Salpichroa origanifolia,"Salpichroa origanifolia is a species of flowering plant in the nightshade family known by the common names lily of the valley vine,  pampas lily-of-the-valley or cock's-eggs."
516,북미계곡곤들매기,,Salvelinus fontinalis</em>,유입주의 생물,어류,Salvelinus fontinalis,"The brook trout (Salvelinus fontinalis) is a species of freshwater fish in the char genus Salvelinus of the salmon family Salmonidae. It is native to Eastern North America in the United States and Canada, but has been introduced elsewhere in North America, as well as to Iceland, Europe, and Asia. In parts of its range, it is also known as the eastern brook trout, speckled trout, brook charr, squaretail, brookie or mud trout, among others. A potamodromous population in Lake Superior, is known as "
517,큰생이가래,"Giant salvinia, Kariba weed",Salvinia biloba</em>,유입주의 생물,식물,Salvinia biloba,
518,좀생이가래,Common salvinia,Salvinia minima</em> Baker,유입주의 생물,식물,Salvinia minima,"Salvinia minima is a species of aquatic, floating fern that grows on the surface of still waterways. It is usually referred to as common salvinia or water spangles. Salvinia minima is native to South America, Mesoamerica, and the West Indies and was introduced to the United States in the 1920s-1930s. It is classified as an invasive species internationally and can be detrimental to native ecosystems. This species is similar to but should not be confused with giant salvinia, Salvinia molesta."
519,파이크농어,Zander,Sander lucioperca</em>,유입주의 생물,어류,Sander lucioperca,"The zander (Sander lucioperca), sander or pikeperch, is a species of ray-finned fish from the family Percidae, which also includes perch, ruffe and darter. It is found in freshwater and brackish habitats in western Eurasia. It is a popular game fish and has been introduced to a variety of localities outside its native range. It is the type species of the genus Sander."
520,월아이농어,Walleye,Sander vitreus</em>,유입주의 생물,어류,Sander vitreus,"The walleye  (Sander vitreus, synonym Stizostedion vitreum), also called the yellow pike or yellow pikeperch or yellow pickerel, is a freshwater perciform fish native to most of Canada and to the Northern United States. It is a North American close relative of the European zander, also known as the pikeperch. The walleye is sometimes called the yellow walleye to distinguish it from the blue walleye, which is a color morph that was once found in the southern Ontario and Quebec regions, but is now"
521,볼가민물꼬치농어,Volga pikeperch,Sander volgensis</em>,유입주의 생물,어류,Sander volgensis,"The Volga pikeperch, or Volga zander (Sander volgensis), is a species of fish in the perch family Percidae. It is found in Austria, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Croatia, Germany, Hungary, Moldova, Romania, Russia, Serbia, Slovakia, and Ukraine."
522,일본참중고기,Biwa higai,Sarcocheilichthys variegatus microoculus</em>,유입주의 생물,어류,Sarcocheilichthys variegatus microoculus,
523,검은턱틸라피아,,Sarotherodon melanotheron</em>,유입주의 생물,어류,Sarotherodon melanotheron,"The blackchin tilapia (Sarotherodon melanotheron) is a species of cichlid native to coastal west Africa. It is a paternal mouthbrooder which has been introduced to Asia and North America.
In the Philippines, it is also informally called gloria or tilapiang arroyo after former Philippine President Gloria Macapagal-Arroyo because of its small size and mole-like dark pigmentation under its lower jaw, resembling that of the short stature and mole on the former president's left cheek."
524,러드,Common rudd,Scardinius erythrophthalmus</em>,유입주의 생물,어류,Scardinius erythrophthalmus,"The common rudd (Scardinius erythrophthalmus) is a bentho-pelagic freshwater fish, widely spread in Europe and middle Asia, around the basins of the North, Baltic, Black, Caspian and Aral seas."
525,붉은코청개구리,,Scinax ruber</em>,유입주의 생물,양서류,Scinax ruber,"Scinax ruber is a species of frog in the family Hylidae. It is known in English as the red snouted treefrog or red-snouted treefrog, sometimes also Allen's snouted treefrog, the latter referring to the now-synonymized Scinax alleni. This widespread species is found in much of Amazonian and northern coastal South America and into Panama, as well as in some Caribbean islands as introduced populations. It is a complex containing several cryptic species."
526,코카커스청설모,,Sciurus anomalus</em>,유입주의 생물,포유류,Sciurus anomalus,"The Caucasian squirrel (Sciurus anomalus) or Persian squirrel, is a tree squirrel in the genus Sciurus found in temperate broadleaf and mixed forests in south-western Asia.The species is usually said to have first been described in 1778 by Johann Friedrich Gmelin in the 13th edition of Systema Naturae, and named Sciurus anomalus. However, some authors argue that this work was actually published in 1788, and that the true first description was made by Johann Anton Güldenstädt in 1785."
527,멕시코회색다람쥐,Mexican gray squirrel,Sciurus aureogaster</em>,유입주의 생물,포유류,Sciurus aureogaster,The Mexican gray squirrel (or red-bellied squirrel) (Sciurus aureogaster) is a tree squirrel in the genus Sciurus native to Guatemala and eastern and southern Mexico. It has been introduced to the Florida Keys.The alternate name should not be confused with the Indonesian red-bellied squirrel (Rubrisciurus rubriventer) or the Asian red-bellied tree squirrel (Callosciurus erythraeus).
528,동부회색다람쥐,Eastern gray squirrel,Sciurus carolinensis</em>,유입주의 생물,포유류,Sciurus carolinensis,"The eastern gray squirrel (Sciurus carolinensis), also known, particularly outside of North America, as simply the grey squirrel, is a tree squirrel in the genus Sciurus. It is native to eastern North America, where it is the most prodigious and ecologically essential natural forest regenerator. Widely introduced to certain places around the world, the eastern gray squirrel in Europe, in particular, is regarded as an invasive species.
In Europe, Sciurus carolinensis is included since 2016 in the"
529,여우청설모,,Sciurus niger</em>,유입주의 생물,포유류,Sciurus niger,"The fox squirrel (Sciurus niger), also known as the eastern fox squirrel or Bryant's fox squirrel, is the largest species of tree squirrel native to North America. Despite the differences in size and coloration, it is sometimes mistaken for American red squirrels or eastern gray squirrels in areas where the species co-exist."
530,모리타니두꺼비,Mauritanian Toad,Sclerophrys mauritanica</em>,유입주의 생물,양서류,Sclerophrys mauritanica,"The Berber toad, also known as Mauritanian toad, Moroccan toad, pantherine toad or Moorish toad (Sclerophrys mauritanica), is a species of toad in the family Bufonidae, which is found in north-western Africa, with an introduced population in southern Spain."
531,남아프리카덩굴금방망이,Creeping groudsel,Senecio angulatus</em> L.f.,유입주의 생물,식물,Senecio angulatus,"Senecio angulatus, also known as creeping groundsel 
and Cape ivy,
is a succulent flowering plant in the family Asteraceae that is native to South Africa. Cape ivy is a scrambling herb that can become an aggressive weed once established, making it an invasive species. It has been naturalised in the Mediterranean Basin, where it is grown as an ornamental plant for its satiny foliage and sweet-scented flowers.In Australia, Senecio tamoides (Canary creeper) may usually be misapplied and is consider"
532,갯솜방망이,"Madagascar ragwort, Fireweed, Madagascar fireweed, Variable groundsel",Senecio madagascariensis</em>,유입주의 생물,식물,Senecio madagascariensis,"Senecio madagascariensis, also known as Madagascar ragwort, is a species of the genus Senecio and family Asteraceae that is native to Southern Africa.  Other common names include Madagascar groundsel and fireweed. It has been included on the noxious weeds list for Hawaii 
and the reject list for Australia.S.madagascariensis is the diploid cytotype of S.inaequidens."
533,멕시코나무결명자,,Senna septemtrionalis</em> (Viv.) H.S.Irwin &amp; Barneby,유입주의 생물,식물,Senna septemtrionalis,"Senna septemtrionalis, commonly known as arsenic bush, is a species of flowering plant in the family Fabaceae and is native to Central America, the southern United States and Mexico, but is naturalised in many other countries. It is an erect shrub with pinnate leaves, with four or five pairs of egg-shaped leaflets, and yellow flowers arranged in groups of five to eight, usually with seven fertile stamens and four staminodes in each flower."
534,넓은잎강아지풀,"Palmgrass, highland pitpit, hailans pitpit, short pitpit",Setaria palmifolia</em> (J.Koenig) Stapf,유입주의 생물,식물,Setaria palmifolia,"Setaria palmifolia is a species of grass known by the common names palmgrass, highland pitpit, hailans pitpit, short pitpit, broadleaved bristlegrass, and knotroot. In Spanish it is called pasto de palma and in Samoan vao 'ofe 'ofe. It is native to temperate and tropical Asia. It is known elsewhere as an introduced, and often invasive, species, including in Australia, New Zealand, many Pacific Islands, and the Americas."
535,심장잎공단풀,,Sida cordifolia</em> L.,유입주의 생물,식물,Sida cordifolia,"Sida cordifolia ('ilima, flannel weed, bala, country mallow or heart-leaf sida) is a perennial subshrub of the mallow family Malvaceae native to India. It has naturalized throughout the world, and is considered an invasive weed in Africa, Australia, the southern United States, Hawaiian Islands, New Guinea, and French Polynesia. The specific name, cordifolia, refers to the heart-shaped leaf."
536,마블독가시치,Marbled spinefoot,Siganus rivulatus</em>,유입주의 생물,어류,Siganus rivulatus,"Siganus rivulatus, the marbled spinefoot, rivulated rabbitfish or surf parrotfish, is a gregarious, largely herbivorous ray-finned fish of the family Siganidae. Its natural range encompasses the western Indian Ocean and the Red Sea from where it colonised the Mediterranean Sea by Lessepsian migration through the Suez Canal. It is the type species of the genus Siganus."
537,웰스메기,Wels catfish,Silurus glanis</em>,유입주의 생물,어류,Silurus glanis,"The wels catfish  ( or ; Silurus glanis), also called sheatfish or just wels, is a large species of catfish native to wide areas of central, southern, and eastern Europe, in the basins of the Baltic, Black and Caspian Seas. It has been introduced to Western Europe as a prized sport fish and is now found from the United Kingdom east to Kazakhstan and China and south to Greece and Turkey."
538,중국쏘가리,Mandarin fish,Siniperca chuatsi</em>,유입주의 생물,어류,Siniperca chuatsi,Mandarinfish or mandarin fish may refer to:
539,희망봉왕도깨비가지,"Dutch eggplant, Love-apple",Solanum aculeatissimum</em>,유입주의 생물,식물,Solanum aculeatissimum,"Solanum aculeatissimum, known as Dutch eggplant, and love-apple, is a weedy shrub that bears small, 2–3 cm pale yellow fruit following white flowers with characteristic Solanum yellow stamens."
540,아프리카까마중나무,"Purple african nightshade, White-margined nightshade",Solanum marginatum</em>,유입주의 생물,식물,Solanum marginatum,"Solanum marginatum is a species of plant in the family Solanaceae known by the common names purple African nightshade and white-margined nightshade. It is native to Ethiopia and Eritrea, and it is known on other continents as an introduced species and sometimes a weed. It is a hairy shrub growing up to two meters tall. The large, distinctive, gray-green leaves are wavy along the edges, woolly on the undersides, and measure up to 18 centimeters long. The veins are white and lined with large, wide"
